match	samerace	age_o	attr_o	sinc_o	intel_o	fun_o	amb_o	shar_o	like_o
0	0	27	6	8	8	8	8	6	7
0	1	27	8	7	6	9	7	4	7
0	1	27	7	8	6	5	8	4	5
0	1	27	6	7	8	7	7	5	6
0	1	27	6	8	8	8	7	6	6
0	0	27	7	9	8	9	8	4	7
0	0	27	7	8	8	8	7	7	7
0	1	27	8	7	6	6	6	5	7
0	0	27	6	8	7	8	7	5	6
0	1	27	7	8	7	8	6	5	6
0	0	21	6	9	7	7	6	5	7
0	0	21	7	8	7	8	5	6	7
1	1	21	5	8	9	8	5	7	7
1	0	21	7	6	8	7	6	8	7
1	0	21	5	6	7	7	6	6	6
0	0	21	4	9	7	4	6	4	6
0	0	21	7	6	7	4	6	7	6
0	0	21	4	9	7	6	5	6	6
1	0	21	7	6	8	9	8	8	7
0	0	21	5	6	6	8	10	8	6
0	1	25	3	10	10	6	4	7	4
0	0	25	4	10	8	8	6	4	3
0	1	25	5	4	3	7	4	3	1
0	0	25	5	10	9	9	8	5	2
0	0	25	8	10	9	9	8	4	3
0	0	25	8	9	9	8	7	4	3
0	0	25	9	8	6	8	7	5	5
0	0	25	8	8	7	8	7	3	6
0	0	25	5	6	3	4	3	3	1
0	0	25	6	6	8	7	8	4	2
0	0	25	7	5	4	4	8	3	2
0	1	25	8	10	10	7	8	4	5
0	0	25	6	10	10	8	5	3	6
0	1	25	8	7	6	8	6	4	5
0	0	25	5	6	6	5	7	3	3
0	0	25	5	8	9	7	8	4	3
0	0	25	4	6	8	7	6	3	1
0	0	25	8	9	10	9	10	7	3
0	0	25	3	10	9	10	4	4	3
0	1	21	6	8	7	9	5	7	9
0	1	21	5	8	7	5	9	5	7
0	1	21	8	9	8	8	7	6	9
0	0	21	5	8	8	4	9	3	6
0	0	21	7	7	8	5	7	2	6
0	0	21	6	8	8	6	8	4	5
0	0	21	6	8	8	6	8	5	8
0	0	21	4	7	7	4	7	3	5
0	0	21	7	7	7	5	6	3	6
0	1	21	9	9	10	9	9	8	9
0	0	21	5	7	7	7	7	6	6
0	0	21	7	4	6	4	4	2	2
0	0	21	5	8	8	5	8	2	6
0	0	21	6	8	7	7	7	2	6
0	0	21	6	8	7	6	8	2	6
0	0	21	5	9	9	8	9	5	8
0	0	29	7	6	6	7	9	5	6
0	0	29	4	7	7	6	6	5	5
1	0	29	5	8	7	8	8	6	6
0	1	29	9	8	8	8	7	5	8
0	0	29	2	6	7	5	6	4	5
0	0	29	4	6	6	5	4	4	4
0	0	29	8	8	8	8	6	8	8
0	0	23	2	6	2	3	2	3	2
0	0	23	3	9	9	7	9	7	5
0	0	23	3	7	5	3	5	2	2
1	1	23	5	10	8	5	8	6	6
1	1	23	4	7	9	9	10	7	9
0	1	23	3	10	8	6	7	7	5
0	1	23	3	10	5	3	5	4	3
0	1	23	4	10	9	8	9	7	6
0	1	23	3	10	7	3	5	2	3
0	0	23	3	10	9	2	9	3	3
1	0	28	6	6	6	7	7	6	7
1	0	28	8	8	7	7	7	5	7
0	0	28	7	5	6	6	5	3	5
0	1	28	7	7	8	8	6	9	8
0	1	28	6	7	7	7	7	5	5
0	0	28	9	8	8	8	8	6	8
1	0	28	9	9	8	8	6	6	8
0	0	28	7	7	7	7	7	5	6
0	0	28	6	7	6	6	6	5	5
0	0	28	7	7	7	7	7	5	5
0	0	28	6	8	8	8	6	6	6
0	0	28	7	7	7	7	7	5	6
0	0	28	7	6	6	6	6	5	5
0	0	28	5	5	5	5	5	5	5
0	1	28	5	6	9	3	3	3	3
0	0	28	9	8	8	8	8	5	7
0	0	28	9	8	8	6	7	7	6
0	0	28	7	9	9	8	6	7	7
0	1	34	5	5	5	5	8	8	5
1	1	22	9	9	9	9	9	9	9
0	0	22	10	10	10	10	10	10	10
0	0	22	6	10	7	7	7	7	8
0	0	22	10	10	10	10	10	10	10
1	0	22	10	10	10	10	10	10	10
0	0	22	10	10	10	10	10	10	10
0	0	22	9	9	8	7	8	7	8
1	0	22	6	7	7	7	7	7	8
0	0	22	6	9	8	7	6	6	7
1	1	20	7	7	7	9	7	8	8
0	0	20	4	8	7	4	9	3	4
0	0	20	5	1	6	2	8	1	1
1	0	20	7	7	8	8	7	8	8
1	0	20	5	7	9	6	8	7	8
1	0	20	10	6	7	8	8	8	8
1	0	20	9	10	8	8	7	9	9
1	0	20	7	7	6	7	6	7	7
0	0	20	8	8	8	8	8	8	7
0	0	20	2	7	6	2	5	1	2
0	0	26	8	8	9	8	9	7	7
0	1	26	6	10	10	6	7	5	7
1	0	26	9	9	9	8	8	7	9
0	0	26	7	8	8	7	7	6	7
0	0	26	6	8	9	7	9	6	8
0	0	27	7	9	7	9	6	9	8
0	1	27	8	8	8	8	8	8	8
0	0	27	5	7	9	5	9	5	5
